epoch,phase,accuracy,loss
1,validation,0.500457763671875,2.418495213642018
2,validation,0.72637939453125,0.6390658569944208
3,validation,0.500457763671875,3.7639891046565026
4,validation,0.795745849609375,0.5071282951466856
5,validation,0.78997802734375,0.5132738448228338
6,validation,0.787353515625,0.5196042104944354
7,validation,0.68426513671875,0.5723970603867201
8,validation,0.812042236328125,0.5033640658730292
9,validation,0.804107666015625,0.5048258097012877
10,validation,0.78851318359375,0.5098605485036387
11,validation,0.789215087890625,0.5064420368726132
12,validation,0.814208984375,0.5044659920095
13,validation,0.814971923828125,0.501701378969301
14,validation,0.8126220703125,0.5042554163228488
15,validation,0.814910888671875,0.5001781980972737
16,validation,0.813262939453125,0.5041028866107808
17,validation,0.814483642578125,0.5026068927109009
18,validation,0.814422607421875,0.5020315241417848
19,validation,0.8143310546875,0.502080472324451
20,validation,0.81439208984375,0.5024780629537418
21,validation,0.81365966796875,0.5012820626434404
22,validation,0.814910888671875,0.5021665972162737
23,validation,0.813446044921875,0.5025827966965153
24,validation,0.813720703125,0.5021742765820818
1,training,0.5309982299804688,5.3096169662203465
2,training,0.5251998901367188,5.928119843418244
3,training,0.5313720703125,5.043564053379669
4,training,0.7396736145019531,0.743910868806779
5,training,0.7453231811523438,0.7266468029683892
6,training,0.739349365234375,0.7302473260551778
7,training,0.7420234680175781,0.7280533645771357
8,training,0.7827033996582031,0.7028903992013511
9,training,0.7830047607421875,0.7026847700253711
10,training,0.7836494445800781,0.702995136482059
11,training,0.7819137573242188,0.7028262780477235
12,training,0.7880287170410156,0.6992923714042263
13,training,0.7891845703125,0.6992547332192771
14,training,0.78857421875,0.699172217557134
15,training,0.7899856567382812,0.6990899086868012
16,training,0.789154052734375,0.698942598870417
17,training,0.7904319763183594,0.6985753169938107
18,training,0.7898941040039062,0.698578528017606
19,training,0.7896690368652344,0.6989298129119561
20,training,0.7900161743164062,0.6985463992277801
21,training,0.79034423828125,0.6989038825395255
22,training,0.7906494140625,0.69847766289422
23,training,0.7902069091796875,0.6983809437169839
24,training,0.7899208068847656,0.6985702620459051
